Ligand,Score
CHEMBL2105941_preprocessed_conf2_out.sdf,-3.365
CHEMBL1673148_preprocessed_conf0_out.sdf,-3.409
CHEMBL3989555_preprocessed_conf2_out.sdf,-3.851
CHEMBL866_preprocessed_conf6_out.sdf,-4.225
CHEMBL460291_preprocessed_conf0_out.sdf,-3.667
CHEMBL15677_preprocessed_conf9_out.sdf,-3.669
CHEMBL473159_preprocessed_conf1_out.sdf,-2.444
CHEMBL1201347_preprocessed_conf3_out.sdf,-3.614
CHEMBL1401_preprocessed_conf9_out.sdf,-3.392
CHEMBL278398_preprocessed_conf8_out.sdf,-3.902
CHEMBL3989567_preprocessed_conf0_out.sdf,-3.7
CHEMBL542541_preprocessed_conf0_out.sdf,-3.14
CHEMBL2062264_preprocessed_conf9_out.sdf,-2.904
CHEMBL1201262_preprocessed_conf2_out.sdf,-3.491
CHEMBL361506_preprocessed_conf6_out.sdf,-4.148
CHEMBL484785_preprocessed_conf1_out.sdf,-4.107
CHEMBL6466_preprocessed_conf7_out.sdf,-3.077
CHEMBL1364551_preprocessed_conf1_out.sdf,-3.706
CHEMBL1319362_preprocessed_conf5_out.sdf,-3.273
CHEMBL923_preprocessed_conf5_out.sdf,-2.871
CHEMBL3707393_preprocessed_conf5_out.sdf,-3.407
CHEMBL4297534_preprocessed_conf8_out.sdf,-3.586
CHEMBL1095097_preprocessed_conf2_out.sdf,-3.441
CHEMBL1589_preprocessed_conf4_out.sdf,-3.598
CHEMBL1201273_preprocessed_conf3_out.sdf,-3.774
CHEMBL741_preprocessed_conf6_out.sdf,-3.255
CHEMBL107_preprocessed_conf2_out.sdf,-3.637
CHEMBL608533_preprocessed_conf5_out.sdf,-5.847
CHEMBL516_preprocessed_conf5_out.sdf,-4.249
CHEMBL1200927_preprocessed_conf6_out.sdf,-3.239
CHEMBL1420_preprocessed_conf3_out.sdf,-2.612
CHEMBL1200733_preprocessed_conf6_out.sdf,-2.79
CHEMBL583_preprocessed_conf8_out.sdf,-3.796
CHEMBL3989885_preprocessed_conf0_out.sdf,-3.333
CHEMBL900_preprocessed_conf4_out.sdf,-3.676
CHEMBL2110848_preprocessed_conf2_out.sdf,-3.517
CHEMBL1201178_preprocessed_conf4_out.sdf,-3.363
CHEMBL304902_preprocessed_conf9_out.sdf,-4.19
CHEMBL98123_preprocessed_conf5_out.sdf,-3.507
CHEMBL1213351_preprocessed_conf8_out.sdf,-3.217
CHEMBL4298138_preprocessed_conf4_out.sdf,-4.092
CHEMBL1200334_preprocessed_conf0_out.sdf,-3.749
CHEMBL1110_preprocessed_conf7_out.sdf,-3.709
CHEMBL282042_preprocessed_conf3_out.sdf,-4.388
CHEMBL1276308_preprocessed_conf4_out.sdf,-4.451
CHEMBL3989962_preprocessed_conf0_out.sdf,-3.744
CHEMBL2111187_preprocessed_conf3_out.sdf,-1.185
CHEMBL3989406_preprocessed_conf7_out.sdf,-3.375
CHEMBL1134_preprocessed_conf8_out.sdf,-2.908
CHEMBL1670_preprocessed_conf7_out.sdf,-3.739
CHEMBL942_preprocessed_conf5_out.sdf,-4.202
CHEMBL788_preprocessed_conf4_out.sdf,-2.724
CHEMBL554_preprocessed_conf1_out.sdf,-4.156
CHEMBL3137317_preprocessed_conf8_out.sdf,-4.04
CHEMBL1201075_preprocessed_conf4_out.sdf,-3.148
CHEMBL4297334_preprocessed_conf8_out.sdf,-4.042
CHEMBL1200916_preprocessed_conf9_out.sdf,-3.686
CHEMBL2107004_preprocessed_conf2_out.sdf,-4.396
CHEMBL452231_preprocessed_conf5_out.sdf,-3.908
CHEMBL1029_preprocessed_conf7_out.sdf,-2.767
CHEMBL3039567_preprocessed_conf9_out.sdf,-2.226
CHEMBL76370_preprocessed_conf2_out.sdf,-3.644
CHEMBL606260_preprocessed_conf2_out.sdf,-3.627
CHEMBL1256400_preprocessed_conf3_out.sdf,-3.827
CHEMBL1109_preprocessed_conf9_out.sdf,-3.446
CHEMBL1205_preprocessed_conf9_out.sdf,-4.505
CHEMBL3622821_preprocessed_conf1_out.sdf,-3.808
CHEMBL1474889_preprocessed_conf5_out.sdf,-3.195
CHEMBL12856_preprocessed_conf6_out.sdf,-3.238
CHEMBL1200729_preprocessed_conf3_out.sdf,-3.413
CHEMBL1201073_preprocessed_conf9_out.sdf,-2.198
CHEMBL3990694_preprocessed_conf9_out.sdf,-2.467
CHEMBL301265_preprocessed_conf1_out.sdf,-3.036
CHEMBL1197051_preprocessed_conf8_out.sdf,-3.793
CHEMBL534_preprocessed_conf1_out.sdf,-3.603
CHEMBL1201346_preprocessed_conf9_out.sdf,-3.943
CHEMBL1237119_preprocessed_conf3_out.sdf,-3.85
