Ligand,Score
CHEMBL1639_preprocessed_conf9_out.sdf,-2.414
CHEMBL965_preprocessed_conf8_out.sdf,-2.23
CHEMBL971_preprocessed_conf9_out.sdf,-4.052
CHEMBL3301670_preprocessed_conf2_out.sdf,-4.2
CHEMBL1387_preprocessed_conf2_out.sdf,-4.58
CHEMBL3833332_preprocessed_conf4_out.sdf,-1.677
CHEMBL2107815_preprocessed_conf0_out.sdf,-4.532
CHEMBL276520_preprocessed_conf4_out.sdf,-3.887
CHEMBL1622_preprocessed_conf7_out.sdf,-3.541
CHEMBL517199_preprocessed_conf9_out.sdf,-4.143
CHEMBL2106975_preprocessed_conf4_out.sdf,-1.718
CHEMBL1201728_preprocessed_conf0_out.sdf,-3.693
CHEMBL1200989_preprocessed_conf4_out.sdf,-4.184
CHEMBL1201045_preprocessed_conf6_out.sdf,-3.293
CHEMBL1731_preprocessed_conf1_out.sdf,-3.004
CHEMBL1852688_preprocessed_conf4_out.sdf,-0.501
CHEMBL93_preprocessed_conf1_out.sdf,-3.606
CHEMBL288441_preprocessed_conf3_out.sdf,-2.448
CHEMBL3989403_preprocessed_conf4_out.sdf,-3.79
CHEMBL930_preprocessed_conf8_out.sdf,-2.711
CHEMBL1200873_preprocessed_conf5_out.sdf,-3.894
CHEMBL1256391_preprocessed_conf8_out.sdf,-3.825
CHEMBL360328_preprocessed_conf0_out.sdf,-3.875
CHEMBL2096650_preprocessed_conf2_out.sdf,-1.736
CHEMBL1200709_preprocessed_conf4_out.sdf,-4.688
CHEMBL2104594_preprocessed_conf8_out.sdf,-2.921
CHEMBL1431_preprocessed_conf8_out.sdf,-2.291
CHEMBL1201729_preprocessed_conf5_out.sdf,-3.448
CHEMBL5095049_preprocessed_conf8_out.sdf,-3.645
CHEMBL1696_preprocessed_conf0_out.sdf,-5.036
CHEMBL256997_preprocessed_conf3_out.sdf,-3.928
CHEMBL3989861_preprocessed_conf7_out.sdf,-4.161
CHEMBL1201302_preprocessed_conf6_out.sdf,-3.356
CHEMBL453514_preprocessed_conf8_out.sdf,7.056
CHEMBL5315125_preprocessed_conf2_out.sdf,-4.391
CHEMBL1707_preprocessed_conf7_out.sdf,-4.407
CHEMBL428647_preprocessed_conf5_out.sdf,3.388
CHEMBL1201745_preprocessed_conf0_out.sdf,-4.075
CHEMBL105_preprocessed_conf4_out.sdf,-3.126
CHEMBL3989570_preprocessed_conf3_out.sdf,-3.731
CHEMBL1201027_preprocessed_conf8_out.sdf,-3.964
CHEMBL1433_preprocessed_conf4_out.sdf,-4.247
CHEMBL1255_preprocessed_conf2_out.sdf,-1.141
CHEMBL110458_preprocessed_conf4_out.sdf,-2.314
CHEMBL515408_preprocessed_conf2_out.sdf,-3.211
CHEMBL2178422_preprocessed_conf8_out.sdf,-3.691
CHEMBL2364638_preprocessed_conf5_out.sdf,-3.929
CHEMBL1373_preprocessed_conf9_out.sdf,-4.695
CHEMBL1615439_preprocessed_conf9_out.sdf,-3.771
CHEMBL1329455_preprocessed_conf4_out.sdf,-2.574
CHEMBL1465_preprocessed_conf9_out.sdf,-4.715
CHEMBL2105941_preprocessed_conf2_out.sdf,-3.87
CHEMBL1673148_preprocessed_conf0_out.sdf,-4.737
CHEMBL3989555_preprocessed_conf2_out.sdf,-5.037
CHEMBL866_preprocessed_conf6_out.sdf,-4.59
